horizon,regime,algo,fold,purge,n_train,n_test,n_would_purge,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,CALM,LightGBM,1,False,1072,573,1,0.2651,0.4904,0.4893,0.3802,0.4149
1,CALM,LightGBM,1,True,1071,573,1,0.2882,0.4817,0.4808,0.39,0.4622
1,CALM,RandomForest,1,False,1072,573,1,0.2711,0.4764,0.476,0.2922,0.4901
1,CALM,RandomForest,1,True,1071,573,1,0.2847,0.4764,0.4753,0.3333,0.5176
1,CALM,GradientBoosting,1,False,1072,573,1,0.2875,0.5044,0.5037,0.4033,0.45
1,CALM,GradientBoosting,1,True,1071,573,1,0.2914,0.5131,0.5129,0.3825,0.5079
1,CALM,CatBoost,1,False,1072,573,1,0.2641,0.4852,0.4851,0.2882,0.449
1,CALM,CatBoost,1,True,1071,573,1,0.2754,0.4887,0.4887,0.3539,0.4298
1,CALM,XGBoost,2,False,1322,509,1,0.2671,0.5422,0.5391,0.324,0.5214
1,CALM,XGBoost,2,True,1321,509,1,0.2886,0.5422,0.5417,0.306,0.5311
1,CALM,LightGBM,2,False,1322,509,1,0.2704,0.556,0.5545,0.3191,0.5061
1,CALM,LightGBM,2,True,1321,509,1,0.2946,0.5639,0.5622,0.3261,0.4939
1,CALM,RandomForest,2,False,1322,509,1,0.3103,0.5796,0.5657,0.3195,0.6341
1,CALM,RandomForest,2,True,1321,509,1,0.3008,0.5599,0.5598,0.2722,0.5556
1,CALM,GradientBoosting,2,False,1322,509,1,0.2875,0.5599,0.5595,0.3617,0.4746
1,CALM,GradientBoosting,2,True,1321,509,1,0.2677,0.5383,0.5362,0.2889,0.4895
1,CALM,CatBoost,2,False,1322,509,1,0.3008,0.5756,0.572,0.3422,0.5821
1,CALM,CatBoost,2,True,1321,509,1,0.3261,0.5639,0.5635,0.3464,0.5514
1,CALM,XGBoost,4,False,1817,264,0,0.2941,0.5682,0.5681,0.2526,0.4
1,CALM,XGBoost,4,True,1817,264,0,0.2941,0.5682,0.5681,0.2526,0.4
1,CALM,LightGBM,4,False,1817,264,0,0.2447,0.5682,0.567,0.2692,0.3095
1,CALM,LightGBM,4,True,1817,264,0,0.2447,0.5682,0.567,0.2692,0.3095
1,CALM,RandomForest,4,False,1817,264,0,0.2935,0.5758,0.5742,0.2766,0.4396
1,CALM,RandomForest,4,True,1817,264,0,0.2935,0.5758,0.5742,0.2766,0.4396
1,CALM,GradientBoosting,4,False,1817,264,0,0.2937,0.5682,0.5657,0.3269,0.3765
1,CALM,GradientBoosting,4,True,1817,264,0,0.2937,0.5682,0.5657,0.3269,0.3765
