horizon,regime,fold,N,sampler,algo,n_train,n_test,test_start,test_end,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,1,6,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2308,0.4987,0.4777,0.2868,0.4294
1,GLOBAL,1,6,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2406,0.5,0.4882,0.3411,0.3884
1,GLOBAL,1,6,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2499,0.5264,0.522,0.3746,0.48
1,GLOBAL,1,6,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2219,0.4908,0.4711,0.3191,0.3894
1,GLOBAL,1,6,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,7,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2826,0.533,0.529,0.2824,0.4921
1,GLOBAL,1,7,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2658,0.5145,0.5101,0.278,0.4632
1,GLOBAL,1,7,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2963,0.566,0.5604,0.272,0.5088
1,GLOBAL,1,7,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2845,0.5198,0.5163,0.2802,0.4824
1,GLOBAL,1,7,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,7,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2963,0.5541,0.5509,0.3118,0.4624
1,GLOBAL,1,7,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2584,0.5092,0.5063,0.3146,0.4011
1,GLOBAL,1,7,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2903,0.5488,0.5435,0.2969,0.4737
1,GLOBAL,1,7,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2858,0.533,0.5309,0.3088,0.4878
1,GLOBAL,1,7,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,7,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2729,0.5383,0.508,0.3407,0.4396
1,GLOBAL,1,7,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2677,0.5211,0.515,0.2846,0.4358
1,GLOBAL,1,7,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2954,0.566,0.5631,0.2902,0.4779
1,GLOBAL,1,7,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2777,0.5594,0.5349,0.3416,0.4401
1,GLOBAL,1,7,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,7,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.2788,0.5224,0.5212,0.2824,0.4947
1,GLOBAL,1,7,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.2731,0.5224,0.5176,0.2912,0.4211
1,GLOBAL,1,7,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.2952,0.5449,0.5385,0.2594,0.52
1,GLOBAL,1,7,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2651,0.5198,0.5184,0.3,0.4438
1,GLOBAL,1,7,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,7,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2313,0.5119,0.5032,0.2996,0.4558
1,GLOBAL,1,7,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2687,0.504,0.4992,0.3728,0.4333
1,GLOBAL,1,7,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2457,0.5066,0.5021,0.3125,0.4894
1,GLOBAL,1,7,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2499,0.5172,0.5117,0.3271,0.4737
1,GLOBAL,1,7,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,8,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.317,0.5528,0.549,0.3359,0.5131
1,GLOBAL,1,8,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.3035,0.5475,0.5439,0.3723,0.4652
1,GLOBAL,1,8,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3095,0.566,0.5557,0.28,0.5583
1,GLOBAL,1,8,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2942,0.529,0.5227,0.317,0.5039
1,GLOBAL,1,8,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,8,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2911,0.5541,0.5507,0.3173,0.5337
1,GLOBAL,1,8,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2819,0.533,0.5306,0.3094,0.4754
1,GLOBAL,1,8,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2954,0.5567,0.5333,0.2688,0.5694
1,GLOBAL,1,8,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2969,0.5515,0.5464,0.2769,0.5158
1,GLOBAL,1,8,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,8,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2946,0.5462,0.5227,0.3358,0.4946
1,GLOBAL,1,8,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2645,0.5277,0.5224,0.303,0.4474
1,GLOBAL,1,8,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.305,0.5594,0.5464,0.2969,0.5598
1,GLOBAL,1,8,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2913,0.5462,0.5245,0.3395,0.4636
1,GLOBAL,1,8,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,8,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3068,0.5396,0.5392,0.3852,0.4837
1,GLOBAL,1,8,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.3098,0.5488,0.5445,0.3704,0.4813
1,GLOBAL,1,8,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.3071,0.5594,0.5492,0.28,0.5837
1,GLOBAL,1,8,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.308,0.5422,0.5419,0.4043,0.4681
1,GLOBAL,1,8,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
