horizon,regime,algo,fold,pool_variant,n_train,n_test,n_ohlc_selected,selected_features,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,RandomForest,4,BASE,5617,763,0,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_zscore_60d"", ""BA_ret_1d"", ""PG_ret_1d""]",0.3198,0.6042,0.5857,0.2259,0.6402
1,GLOBAL,RandomForest,4,BASE_PLUS_OHLC,5617,763,1,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_zscore_60d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_parkinson_10d"", ""BA_ret_1d""]",0.303,0.5937,0.5677,0.1284,0.6532
1,GLOBAL,XGBoost,4,BASE,5617,763,0,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_zscore_60d"", ""BA_ret_1d"", ""PG_ret_1d""]",0.3248,0.5885,0.573,0.3008,0.61
1,GLOBAL,XGBoost,4,BASE_PLUS_OHLC,5617,763,1,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_zscore_60d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_parkinson_10d"", ""BA_ret_1d""]",0.322,0.6068,0.5894,0.2709,0.6374
1,CALM,RandomForest,0,BASE,828,324,0,"[""IDX_FTSE_ret_1d"", ""ORCL_ret_5d"", ""vix_vs_ma5"", ""EZA_ret_20d"", ""QCOM_zscore_60d"", ""BA_zscore_60d"", ""IVV_zscore_60d"", ""RTX_zscore_60d""]",0.274,0.5463,0.5456,0.2833,0.4604
1,CALM,RandomForest,0,BASE_PLUS_OHLC,828,324,0,"[""IDX_FTSE_ret_1d"", ""QCOM_zscore_60d"", ""ORCL_ret_5d"", ""BA_zscore_60d"", ""VTI_zscore_60d"", ""NWL_ret_1d"", ""vix_vs_ma5"", ""LLY_ret_1d""]",0.2838,0.5833,0.5832,0.4028,0.4088
1,CALM,XGBoost,0,BASE,828,324,0,"[""IDX_FTSE_ret_1d"", ""ORCL_ret_5d"", ""vix_vs_ma5"", ""EZA_ret_20d"", ""QCOM_zscore_60d"", ""BA_zscore_60d"", ""IVV_zscore_60d"", ""RTX_zscore_60d""]",0.2833,0.5648,0.5603,0.3688,0.368
1,CALM,XGBoost,0,BASE_PLUS_OHLC,828,324,0,"[""IDX_FTSE_ret_1d"", ""QCOM_zscore_60d"", ""ORCL_ret_5d"", ""BA_zscore_60d"", ""VTI_zscore_60d"", ""NWL_ret_1d"", ""vix_vs_ma5"", ""LLY_ret_1d""]",0.2624,0.5309,0.5304,0.4276,0.314
1,CALM,RandomForest,1,BASE,1072,573,0,"[""ORCL_ret_5d"", ""BA_ret_5d"", ""LLY_ret_1d"", ""AXP_ret_5d"", ""AMGN_ret_1d"", ""NSRGY_ret_5d"", ""COF_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2711,0.4764,0.476,0.2922,0.4901
1,CALM,RandomForest,1,BASE_PLUS_OHLC,1072,573,0,"[""ORCL_ret_5d"", ""AXP_ret_5d"", ""LLY_ret_1d"", ""COF_ret_1d"", ""AMGN_ret_1d"", ""BA_ret_5d"", ""ILMN_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2895,0.4974,0.4945,0.3333,0.5358
1,CALM,XGBoost,1,BASE,1072,573,0,"[""ORCL_ret_5d"", ""BA_ret_5d"", ""LLY_ret_1d"", ""AXP_ret_5d"", ""AMGN_ret_1d"", ""NSRGY_ret_5d"", ""COF_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2792,0.4939,0.4939,0.395,0.4646
1,CALM,XGBoost,1,BASE_PLUS_OHLC,1072,573,0,"[""ORCL_ret_5d"", ""AXP_ret_5d"", ""LLY_ret_1d"", ""COF_ret_1d"", ""AMGN_ret_1d"", ""BA_ret_5d"", ""ILMN_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.3057,0.5236,0.5233,0.4049,0.5412
1,CALM,RandomForest,2,BASE,1322,509,0,"[""IGV_ret_5d"", ""vix_zscore_20d"", ""MSTR_ret_5d"", ""FRED_STLFSI_ret_1d"", ""AAPL_ret_5d"", ""VRTX_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""XOM_ret_5d""]",0.3103,0.5796,0.5657,0.3195,0.6341
1,CALM,RandomForest,2,BASE_PLUS_OHLC,1322,509,0,"[""IGV_ret_5d"", ""MSTR_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_1d"", ""GD_ret_1d"", ""DE_ret_5d"", ""IDX_GSPC_ret_5d"", ""CSCO_ret_5d""]",0.3082,0.5599,0.5599,0.2841,0.5228
1,CALM,XGBoost,2,BASE,1322,509,0,"[""IGV_ret_5d"", ""vix_zscore_20d"", ""MSTR_ret_5d"", ""FRED_STLFSI_ret_1d"", ""AAPL_ret_5d"", ""VRTX_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""XOM_ret_5d""]",0.2671,0.5422,0.5391,0.324,0.5214
1,CALM,XGBoost,2,BASE_PLUS_OHLC,1322,509,0,"[""IGV_ret_5d"", ""MSTR_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_1d"", ""GD_ret_1d"", ""DE_ret_5d"", ""IDX_GSPC_ret_5d"", ""CSCO_ret_5d""]",0.3289,0.5737,0.5726,0.3913,0.5203
1,CALM,RandomForest,4,BASE,1817,264,0,"[""FRED_STLFSI_ret_1d"", ""IDX_GSPC_ret_5d"", ""spx_drawdown_252d"", ""XOM_ret_1d"", ""AAPL_ret_5d"", ""FRED_NFCI_ret_5d"", ""LOW_ret_1d"", ""vix_zscore_20d""]",0.2935,0.5758,0.5742,0.2766,0.4396
1,CALM,RandomForest,4,BASE_PLUS_OHLC,1817,264,0,"[""FRED_STLFSI_ret_1d"", ""IDX_GSPC_ret_5d"", ""spx_drawdown_252d"", ""FRED_NFCI_ret_5d"", ""AAPL_ret_5d"", ""LOW_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""LLY_ret_1d""]",0.3071,0.5758,0.5751,0.2857,0.4545
1,CALM,XGBoost,4,BASE,1817,264,0,"[""FRED_STLFSI_ret_1d"", ""IDX_GSPC_ret_5d"", ""spx_drawdown_252d"", ""XOM_ret_1d"", ""AAPL_ret_5d"", ""FRED_NFCI_ret_5d"", ""LOW_ret_1d"", ""vix_zscore_20d""]",0.2941,0.5682,0.5681,0.2526,0.4
1,CALM,XGBoost,4,BASE_PLUS_OHLC,1817,264,0,"[""FRED_STLFSI_ret_1d"", ""IDX_GSPC_ret_5d"", ""spx_drawdown_252d"", ""FRED_NFCI_ret_5d"", ""AAPL_ret_5d"", ""LOW_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""LLY_ret_1d""]",0.2807,0.5795,0.5785,0.3269,0.3171
1,NORMAL,RandomForest,0,BASE,868,319,0,"[""MSFT_ret_20d"", ""ADBE_ret_1d"", ""FRED_STLFSI_ret_1d"", ""QCOM_ret_20d"", ""GILD_ret_20d"", ""CI_ret_5d"", ""PEP_ret_5d"", ""TAP_ret_5d""]",0.2995,0.5455,0.5288,0.3704,0.5464
1,NORMAL,RandomForest,0,BASE_PLUS_OHLC,868,319,0,"[""MSFT_ret_20d"", ""QCOM_ret_20d"", ""ADBE_ret_1d"", ""CI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""P_stress_HMM"", ""TAP_ret_5d"", ""HD_ret_5d""]",0.3334,0.5799,0.5462,0.4144,0.5616
1,NORMAL,XGBoost,0,BASE,868,319,0,"[""MSFT_ret_20d"", ""ADBE_ret_1d"", ""FRED_STLFSI_ret_1d"", ""QCOM_ret_20d"", ""GILD_ret_20d"", ""CI_ret_5d"", ""PEP_ret_5d"", ""TAP_ret_5d""]",0.254,0.5455,0.5366,0.3063,0.5165
1,NORMAL,XGBoost,0,BASE_PLUS_OHLC,868,319,0,"[""MSFT_ret_20d"", ""QCOM_ret_20d"", ""ADBE_ret_1d"", ""CI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""P_stress_HMM"", ""TAP_ret_5d"", ""HD_ret_5d""]",0.3245,0.5549,0.5458,0.4333,0.5326
1,NORMAL,RandomForest,1,BASE,1123,155,0,"[""vix_zscore_10d__zrel__EWC_zscore_60d"", ""AXP_ret_1d"", ""GILD_ret_5d"", ""IDX_VIX_zscore_60d"", ""HUM_ret_1d"", ""VLO_ret_1d"", ""FRED_STLFSI_ret_1d"", ""ADM_zscore_60d""]",0.2384,0.5419,0.4246,0.1509,0.8143
1,NORMAL,RandomForest,1,BASE_PLUS_OHLC,1123,155,0,"[""vix_zscore_10d__zrel__EWC_zscore_60d"", ""AXP_ret_1d"", ""GILD_ret_5d"", ""EWD_ret_1d"", ""FRED_STLFSI_ret_1d"", ""HUM_ret_1d"", ""CSCO_ret_5d"", ""IDX_VIX_zscore_60d""]",0.2809,0.5806,0.4732,0.2222,0.8085
1,NORMAL,XGBoost,1,BASE,1123,155,0,"[""vix_zscore_10d__zrel__EWC_zscore_60d"", ""AXP_ret_1d"", ""GILD_ret_5d"", ""IDX_VIX_zscore_60d"", ""HUM_ret_1d"", ""VLO_ret_1d"", ""FRED_STLFSI_ret_1d"", ""ADM_zscore_60d""]",0.2264,0.4968,0.4301,0.2807,0.6942
